No,pertanyaan,jawaban,,,,
153,Bagaimana aturan bagi mahasiswa yang terlambat daftar ulang?,Mahasiswa diberi perpanjangan satu minggu dan dikenai denda 1% dari UKT/SPP terakhir.,,,,
154,Apa aturan bagi mahasiswa yang tidak terdaftar selama 1 semester tanpa cuti?,Masih dapat mendaftar kembali dengan membayar UKT/SPP selama tidak aktif dan UKT/SPP semester berikutnya.,,,,
155,Bagaimana aturan bagi mahasiswa yang tidak terdaftar selama 2 semester berturut-turut?,Dapat aktif kembali jika mendapat rekomendasi Dekan dan membayar UKT/SPP selama tidak aktif serta UKT/SPP semester yang akan dijalani.,,,,
156,Apakah waktu tidak aktif dihitung sebagai masa studi?,Ya; waktu tidak aktif tetap dihitung sebagai masa studi.,,,,
157,Apa konsekuensi jika mahasiswa tidak terdaftar lebih dari 2 semester tanpa cuti?,Mahasiswa dianggap mengundurkan diri dan tidak bisa mendaftar kembali.,,,,
158,Bagaimana penentuan jumlah SKS mahasiswa yang kembali aktif?,Jumlah SKS didasarkan pada nilai IPS terakhir sebelum tidak aktif.,,,,
159,Bagaimana cara mahasiswa mengajukan cuti akademik?,Mahasiswa harus mengajukan permohonan tertulis kepada Ketua Jurusan/Bagian atau Koordinator Prodi.,,,,
160,Siapa yang menerbitkan surat izin cuti akademik?,Surat izin cuti akademik diterbitkan oleh Rektor.,,,,
161,Berapa maksimal cuti akademik yang diperbolehkan?,Cuti akademik maksimal 2 semester baik berturut-turut maupun tidak.,,,,
162,Kapan mahasiswa boleh mengajukan cuti akademik?,Mahasiswa boleh mengajukan cuti setelah menempuh minimal dua semester perkuliahan.,,,,
163,Kapan mahasiswa yang cuti dapat aktif kembali?,Mahasiswa dapat aktif kembali sesuai dengan surat cuti yang diterimanya.,,,,
164,Apakah waktu cuti dihitung dalam batas masa studi?,Ya waktu cuti dihitung dalam penentuan batas waktu penyelesaian studi.,,,,
165,Berapa SKS yang boleh diambil setelah cuti?,Jumlah SKS berdasarkan nilai IPS terakhir sebelum cuti.,,,,
166,Apakah mahasiswa cuti berhak menerima layanan akademik?,Tidak mahasiswa cuti tidak berhak mendapatkan layanan akademik maupun kemahasiswaan.,,,,
167,Bolehkah penerima beasiswa mengambil cuti akademik?,Tidak mahasiswa penerima beasiswa tidak diperkenankan mengambil cuti akademik.,,,,
168,Apa syarat IPK untuk pindah antar prodi di UNIB?,Mahasiswa harus memiliki IPK minimal 2.00 dan telah menyelesaikan minimal 2 semester.,,,,
169,Apakah perlu persetujuan fakultas asal untuk pindah prodi?,Ya harus mendapat persetujuan Dekan fakultas asal.,,,,
170,Siapa yang menyetujui perpindahan ke prodi tujuan?,Dekan dan Ketua Jurusan/Ketua Bagian atau Koordinator Prodi tujuan.,,,,
171,Apakah mahasiswa pindahan harus mengikuti tes?,Ya harus lulus tes yang diselenggarakan prodi tujuan.,,,,
172,Apakah SKS bisa dialihkan saat pindah prodi?,Dapat dialihkan jika sesuai kurikulum prodi baru.,,,,
173,Kapan perpindahan antar prodi diperbolehkan?,Hanya diperbolehkan satu kali pada awal tahun akademik.,,,,
174,Apakah boleh pindah dari non-reguler ke reguler?,Tidak diperbolehkan.,,,,
175,Bagaimana perhitungan masa studi mahasiswa pindahan antar prodi?,Dihitung sejak pertama diterima di Universitas Bengkulu.,,,,
176,Apa syarat pindah ke perguruan tinggi lain?,Harus berstatus aktif dan sudah studi minimal 2 semester.,,,,
177,Siapa yang menetapkan mahasiswa yang pindah?,Mahasiswa yang pindah ditetapkan dengan Keputusan Rektor.,,,,
178,Apa saja syarat mahasiswa pindahan terkait status akademik?,Harus berstatus aktif dan terdaftar di PDDIKTI.,,,,
179,Berapa minimal SKS dan IPK jika pindah setelah 2 semester?,Minimal 30 SKS dengan IPK ? 2.50.,,,,
180,Berapa syarat SKS dan IPK jika pindah setelah 4 semester?,Minimal 60 SKS dengan IPK ? 2.50.,,,,
181,Berapa syarat SKS dan IPK jika pindah setelah 6 semester?,Minimal 80 SKS dengan IPK ? 2.50.,,,,
182,Berapa syarat SKS dan IPK jika pindah setelah 8 semester?,Minimal 100 SKS dengan IPK ? 2.50.,,,,
183,Apa syarat etika bagi mahasiswa pindahan?,Tidak sedang dalam proses DO atau menerima sanksi akademik/etika.,,,,
184,Apakah mahasiswa pindahan harus mengikuti tes di prodi UNIB?,Ya; harus lulus ujian yang diselenggarakan prodi tujuan.,,,,
185,Bagaimana perhitungan masa studi mahasiswa pindahan di UNIB?,Dihitung sejak pertama terdaftar di perguruan tinggi asal.,,,,
186,Siapa yang menetapkan mahasiswa pindahan?,Mahasiswa pindahan ditetapkan dengan Keputusan Rektor.,,,,
187,Apakah prodi dapat menerima mahasiswa asing?,Universitas dapat menerima mahasiswa warga negara asing sesuai peraturan perundang-undangan.,,,,
188,Kapan mahasiswa asing dapat memulai pendidikan di prodi?,Mahasiswa asing dapat menempuh pendidikan sejak tahun pertama maupun sebagai mahasiswa pindahan dari perguruan tinggi luar negeri sesuai persyaratan.,,,,
189,Bagaimana proses seleksi masuk mahasiswa asing ?,Seleksi dilakukan melalui ujian masuk khusus untuk mahasiswa asing.,,,,
190,Siapa yang menetapkan tata cara dan persyaratan penerimaan mahasiswa asing?,Tata cara dan persyaratan penerimaan mahasiswa asing ditetapkan oleh Peraturan Rektor.,,,,
191,Apa tujuan utama kegiatan PKK-MABA?,Untuk memperkenalkan tata kehidupan kampus yang mencakup kegiatan akademik; organisasi/kelembagaan; dan kemahasiswaan.,,,,
192,Siapa saja yang wajib mengikuti PKK-MABA?,Semua mahasiswa baru dan mahasiswa pindahan wajib mengikuti PKK-MABA.,,,,
193,Apa saja yang wajib disosialisasikan dalam PKK-MABA?,Kode Etik Mahasiswa dan Peraturan Rektor tentang Penyelenggaraan Kegiatan Akademik.,,,,
194,Berapa lama maksimal pelaksanaan PKK-MABA?,PKK-MABA dilaksanakan dengan lama waktu tidak melebihi 4 hari.,,,,
195,Apa yang diperoleh mahasiswa setelah mengikuti PKK-MABA?,Mahasiswa berhak memperoleh sertifikat PKK-MABA.,,,,
196,Untuk apa sertifikat PKK-MABA digunakan?,Sertifikat menjadi syarat untuk memperoleh beasiswa dan keanggotaan organisasi kemahasiswaan.,,,,
197,Apa kewajiban mahasiswa pada awal semester terkait KRS?,Mahasiswa wajib mengisi KRS secara daring sesuai kurikulum prodi dan jadwal kalender akademik.,,,,
198,Siapa yang membimbing mahasiswa dalam penyusunan rencana studi?,Mahasiswa menyusun rencana studi dengan bimbingan Pembimbing Akademik (PA) yang ditetapkan oleh Rektor.,,,,
199,Bagaimana status KRS setelah diisi mahasiswa?,KRS harus mendapat persetujuan PA secara daring setelah konsultasi.,,,,
200,Apa yang terjadi jika PA tidak dapat menyetujui KRS mahasiswa?,Persetujuan KRS dilakukan oleh Ketua Jurusan/Prodi setelah mendapat persetujuan PA.,,,,
201,Apa konsekuensi jika mahasiswa tidak mengisi atau tidak mendapat persetujuan KRS tepat waktu?,Mahasiswa tidak diperbolehkan mengikuti perkuliahan; ujian; dan tidak mendapatkan nilai.,,,,
202,Kapan mahasiswa memperoleh LHS?,Setiap awal semester mahasiswa berhak menerima LHS semester sebelumnya secara daring.,,,,
203,Apa fungsi LHS bagi mahasiswa?,LHS menjadi dasar pengisian rencana studi semester berikutnya.,,,,
204,Berapa maksimum SKS yang dapat diambil mahasiswa dengan IPS 3.00?,Maksimum 24 SKS.,,,,
205,Berapa maksimum SKS mahasiswa dengan IPS 2.50-2.99?,Maksimum 21 SKS.,,,,
206,Berapa maksimum SKS mahasiswa dengan IPS 2.00-2.49?,Maksimum 19 SKS.,,,,
207,Berapa maksimum SKS mahasiswa dengan IPS 1.51-1.99?,Maksimum 16 SKS.,,,,
208,Berapa maksimum SKS mahasiswa dengan IPS ? 1.50?,Maksimum 13 SKS.,,,,
209,SKS semester 1 dan 2 mahasiswa baru mengikuti apa?,Mengikuti jumlah SKS sesuai paket kurikulum yang ditetapkan.,,,,
210,Siapa yang boleh melakukan perubahan rencana studi?,Mahasiswa yang telah mengisi KRS dan mendapat persetujuan PA.,,,,
211,Kapan perubahan rencana studi dapat dilakukan?,Hanya sesuai jadwal kalender akademik dan harus mendapat persetujuan PA.,,,,
212,Bagaimana cara melakukan perubahan rencana studi?,Mengisi KPRS secara daring dengan prosedur sama seperti KRS.,,,,
213,Apa bentuk perubahan rencana studi yang diperbolehkan?,Membatalkan; mengganti mata kuliah dengan SKS sama/lebih rendah; atau menambah mata kuliah tanpa melebihi batas SKS.,,,,
214,Siapa pengganti PA jika berhalangan?,Koordinator Prodi/Ketua Bagian/Ketua Jurusan/Wakil Dekan Akademik.,,,,
215,Apa konsekuensi jika PA lalai menjalankan tugasnya?,Rektor dapat mencabut Surat Keputusan PA.,,,,
216,Apa tugas PA terkait rencana studi?,Membimbing mahasiswa dalam menyusun rencana studi.,,,,
217,Apa bentuk bimbingan PA kepada mahasiswa?,PA memberikan bimbingan dan nasihat tentang cara belajar yang baik.,,,,
218,Apa tugas PA terkait KRS dan KPRS?,Memberikan pertimbangan dan persetujuan atas KRS dan KPRS.,,,,
219,Apa bentuk layanan konsultasi PA?,Melayani konsultasi akademik dan non-akademik serta menjaga kerahasiaannya.,,,,
220,Kapan PA memberikan rekomendasi akademik?,Jika diperlukan oleh pihak lain.,,,,
221,Berapa minimal jadwal konsultasi PA per semester?,Minimal 3 kali dalam satu semester.,,,,
222,Kapan semester ganjil dimulai dan berakhir?,Dimulai minggu kedua Agustus dan berakhir minggu kedua Desember.,,,,
223,Kapan semester genap dimulai dan berakhir?,Dimulai minggu kedua Januari dan berakhir minggu kedua Juni.,,,,
224,Apa tujuan dari KAS?,Untuk membantu mahasiswa memperbaiki nilai mata kuliah yang pernah diambil.,,,,
225,Berapa lama waktu penyelenggaraan KAS?,Dilaksanakan selama 8 minggu dengan pemadatan perkuliahan.,,,,
226,Siapa yang boleh mengikuti KAS?,Mahasiswa aktif pada semester berjalan.,,,,
227,Berapa maksimum SKS pada KAS?,Maksimal 9 SKS.,,,,
228,Berapa jumlah minimal peserta agar KAS dapat dilaksanakan?,Minimal 15 mahasiswa.,,,,
229,Apakah KAS boleh dilaksanakan jika peserta kurang dari 15?,Boleh; dengan izin Dekan.,,,,
230,Berapa minimal persentase kurikulum kelas internasional yang ditempuh di Prodi penyelenggara?,Minimal 60% dari beban studi ditempuh di Prodi penyelenggara; sisanya di perguruan tinggi mitra.,,,,
231,Bagaimana pelaksanaan perkuliahan di perguruan tinggi mitra?,Dapat dilakukan secara tatap muka atau daring (online).,,,,
232,Apa hak lulusan kelas internasional terkait ijazah dan transkrip?,Mendapatkan ijazah dan transkrip dalam Bahasa Indonesia dan Bahasa internasional; serta dicantumkan di SKPI sebagai peserta kelas internasional.,,,,
233,Apa yang dimaksud dengan Program Jalur Cepat?,Program khusus untuk mahasiswa berprestasi agar menempuh studi lebih cepat dengan kualitas penelitian unggul.,,,,
234,Berapa lama masa studi Program Jalur Cepat untuk sarjana (S1) dan magister (S2)?,Ditempuh selama 5 (lima) tahun.,,,,
235,Apa tujuan penyelenggaraan Program Jalur Cepat?,Untuk memfasilitasi mahasiswa berprestasi akademik tinggi melanjutkan penelitian unggul ke jenjang di atasnya.,,,,
236,Siapa yang mengatur ketentuan lebih lanjut tentang Program Jalur Cepat?,Diatur lebih lanjut dengan Peraturan Rektor.,,,,
237,Apa yang dimaksud dengan standar proses pembelajaran?,Kriteria minimal tentang pelaksanaan pembelajaran pada prodi untuk memperoleh capaian pembelajaran lulusan.,,,,
238,Apa saja yang dicakup dalam standar proses pembelajaran?,Mencakup karakteristik proses pembelajaran; perencanaan proses pembelajaran; pelaksanaan proses pembelajaran; dan beban belajar mahasiswa.,,,,
239,Apa yang dimaksud dengan Rencana Pembelajaran Semester (RPS)?,Perencanaan proses pembelajaran setiap mata kuliah yang disajikan dalam RPS.,,,,
240,Siapa yang menetapkan dan mengembangkan RPS?,Dosen secara mandiri atau bersama dalam kelompok keahlian suatu bidang ilmu pengetahuan dan/atau teknologi dalam prodi.,,,,
241,Apa saja minimal isi RPS?,Nama prodi; nama dan kode mata kuliah; semester; sks; nama dosen pengampu; capaian pembelajaran; kemampuan akhir tiap tahap; bahan kajian; metode; waktu tiap tahap; pengalaman belajar mahasiswa; kriteria/indikator/bobot penilaian; dan daftar referensi.,,,,
242,Seberapa sering RPS harus ditinjau dan disesuaikan?,Paling lambat setiap 2 (dua) tahun atau sesuai perkembangan ilmu pengetahuan dan teknologi.,,,,
243,Apa itu praktikum?,Kegiatan praktek yang dapat menjadi bagian dari mata kuliah atau mata kuliah berdiri sendiri.,,,,
244,Di mana praktikum dapat dilaksanakan?,Di laboratorium; studio; bengkel; atau praktik lapangan yang wajib diikuti mahasiswa.,,,,
245,Bagaimana pengaturan praktikum jika mata kuliah diulang?,Praktikum dapat ditempuh secara terpisah dari mata kuliah yang diulang.,,,,
246,Bagaimana penyusunan jumlah acara praktikum dan tatap muka?,Disusun dan dilaksanakan berdasarkan kompetensi yang akan dicapai pada mata kuliah bersangkutan.,,,,
247,Apa tujuan ujian praktikum?,Untuk mengukur aspek psikomotorik dan afektif yang bersifat komprehensif atau pemecahan masalah keseharian.,,,,
248,Apa yang dimaksud dengan standar penilaian pembelajaran?,Kriteria minimal tentang penilaian proses dan hasil belajar mahasiswa dalam rangka pemenuhan capaian pembelajaran lulusan.,,,,
249,Apa saja yang dicakup dalam penilaian proses dan hasil belajar mahasiswa?,Mencakup prinsip penilaian; teknik dan instrumen penilaian; mekanisme dan prosedur penilaian; pelaksanaan penilaian; pelaporan penilaian; dan kelulusan mahasiswa.,,,,
250,Apa prinsip penilaian dalam standar penilaian pembelajaran?,Prinsip edukatif; otentik; objektif; akuntabel; dan transparan yang dilakukan secara terintegrasi.,,,,
251,Apa yang dimaksud dengan prinsip edukatif?,Penilaian yang memotivasi mahasiswa agar mampu memperbaiki perencanaan dan cara belajar serta meraih capaian pembelajaran lulusan.,,,,
252,Apa yang dimaksud dengan prinsip otentik?,Penilaian yang berorientasi pada proses belajar berkesinambungan dan hasil belajar yang mencerminkan kemampuan mahasiswa saat proses pembelajaran berlangsung.,,,,
253,Apa yang dimaksud dengan prinsip objektif?,Penilaian berdasarkan standar yang disepakati antara dosen dan mahasiswa; bebas dari pengaruh subjektivitas penilai dan yang dinilai.,,,,
254,Apa yang dimaksud dengan prinsip akuntabel?,Penilaian yang dilaksanakan sesuai prosedur dan kriteria jelas; disepakati di awal kuliah; dan dipahami oleh mahasiswa.,,,,
255,Apa yang dimaksud dengan prinsip transparan?,Penilaian yang prosedur dan hasilnya dapat diakses oleh semua pemangku kepentingan.,,,,
256,Apa saja teknik penilaian yang digunakan?,Observasi; partisipasi; unjuk kerja; tes tertulis; tes lisan; dan angket.,,,,
257,Apa saja instrumen penilaian yang digunakan?,Penilaian proses dalam bentuk rubrik dan/atau penilaian hasil dalam bentuk portofolio atau karya desain.,,,,
258,Bagaimana penilaian sikap dilakukan?,Dapat menggunakan teknik penilaian observasi.,,,,
259,Bagaimana penilaian penguasaan pengetahuan; keterampilan umum; dan keterampilan khusus dilakukan?,Dilakukan dengan memilih satu atau kombinasi dari berbagai teknik dan instrumen penilaian yang tersedia.,,,,
260,Apa yang dimaksud dengan hasil akhir penilaian?,Integrasi antara berbagai teknik dan instrumen penilaian yang digunakan.,,,,
261,Apa mekanisme penilaian dalam standar penilaian pembelajaran?,Menyusun; menyampaikan; menyepakati tahap; teknik; instrumen; kriteria; indikator; dan bobot penilaian; melaksanakan proses penilaian; memberikan umpan balik; dan mendokumentasikan penilaian secara akuntabel dan transparan.,,,,
262,Apa saja yang termasuk prosedur penilaian?,Tahap perencanaan; kegiatan pemberian tugas/soal; observasi kinerja; pengembalian hasil observasi; dan pemberian nilai akhir.,,,,
263,Apa yang dimaksud dengan penilaian bertahap atau penilaian ulang?,Prosedur penilaian pada tahap perencanaan yang dapat dilakukan secara bertahap dan/atau penilaian ulang.,,,,
264,Siapa yang dapat melaksanakan penilaian sesuai rencana pembelajaran?,Dosen pengampu atau tim dosen pengampu; dapat pula melibatkan mahasiswa atau pemangku kepentingan yang relevan.,,,,
265,Bagaimana bentuk pelaporan penilaian mata kuliah?,Berupa kualifikasi keberhasilan mahasiswa yang dinyatakan dalam rentang nilai huruf A-E dengan bobot masing-masing.,,,,
266,Kapan hasil penilaian diumumkan kepada mahasiswa?,Setelah satu tahap pembelajaran sesuai dengan rencana pembelajaran.,,,,
267,Bagaimana hasil penilaian capaian pembelajaran lulusan tiap semester dinyatakan?,Dengan Indeks Prestasi Semester (IPS).,,,,
268,Bagaimana hasil penilaian capaian pembelajaran lulusan akhir prodi dinyatakan?,Dengan Indeks Prestasi Kumulatif (IPK).,,,,
269,Bagaimana perhitungan Indeks Prestasi Semester (IPS)?,Jumlah perkalian antara nilai huruf setiap mata kuliah yang ditempuh dan sks mata kuliah dibagi jumlah sks mata kuliah yang diambil dalam satu semester.,,,,
270,Bagaimana perhitungan Indeks Prestasi Kumulatif (IPK)?,Jumlah perkalian antara nilai huruf setiap mata kuliah yang ditempuh dan sks mata kuliah dibagi jumlah sks mata kuliah yang telah ditempuh.,,,,
271,Berapa persentase tatap muka dosen agar ujian akhir semester dapat dilaksanakan?,Minimum 90% dari kegiatan kuliah dan/atau praktikum yang terjadwal.,,,,
272,Apa yang harus dilakukan dosen jika tidak memenuhi ketentuan tatap muka?,Dosen wajib mengganti sejumlah tatap muka yang belum dilaksanakan.,,,,
273,Berapa persentase kehadiran mahasiswa agar diperbolehkan mengikuti ujian akhir semester?,Minimal 80% dari jumlah pembelajaran yang terjadwal.,,,,
274,Apa yang terjadi jika mahasiswa tidak memenuhi persyaratan kehadiran tanpa alasan sah?,Mahasiswa tidak diperkenankan mengikuti ujian akhir semester.,,,,
275,Nilai minimal kelulusan mata kuliah Universitas?,C+.,,,,
276,Nilai minimal kelulusan mata kuliah lainnya untuk vokasi dan sarjana?,D.,,,,
277,Nilai minimal kelulusan mata kuliah lainnya untuk pascasarjana dan profesi?,C+.,,,,
278,Siapa yang menentukan nilai kelulusan mata kuliah prasyarat?,Ditentukan oleh prodi.,,,,
279,Bagaimana pengaturan nilai kelulusan modul untuk program kedokteran dan kesehatan?,Diatur dengan peraturan khusus yang berlaku untuk program tersebut.,,,,
280,Seberapa cepat dosen wajib menginputkan nilai setelah UAS?,Paling lambat 2 (dua) minggu setelah Ujian Akhir Semester selesai.,,,,
281,Apa kewajiban dosen selain menginput nilai secara daring?,Wajib menyerahkan nilai lengkap yang memuat perhitungan bobot aspek penilaian ke prodi untuk disampaikan ke bagian akademik fakultas.,,,,
282,Apa yang dilakukan Dekan jika dosen terlambat menginput dan menyerahkan nilai?,Membuat teguran tertulis atas usulan Ketua Jurusan; Ketua Bagian; Kordinator Prodi.,,,,
283,Apa status nilai jika mahasiswa belum memenuhi komponen penilaian saat diumumkan?,Dinilai sebagai Belum Lengkap (BL).,,,,
284,Apa yang terjadi jika nilai BL tidak terpenuhi dalam 2 minggu?,Nilai BL dinyatakan E.,,,,
285,Siapa yang menandatangani perubahan nilai akibat BL?,Ketua Jurusan; Ketua Bagian; Kordinator Prodi yang bersangkutan.,,,,
286,Bisakah nilai yang sudah diterima bagian administrasi akademik diubah?,Tidak dapat diubah kecuali terdapat kekeliruan yang dibuktikan dengan surat resmi dari Ketua Jurusan; Ketua Bagian; Kordinator Prodi beserta bukti kekeliruan.,,,,
287,Siapa yang berhak mengikuti ujian susulan?,Mahasiswa yang sakit; bertugas negara atau institusi; atau mengalami meninggalnya keluarga dekat dengan bukti sah.,,,,
288,Berapa lama waktu pelaksanaan ujian susulan dari jadwal ujian?,Paling lambat 2 (dua) minggu dari jadwal pelaksanaan ujian.,,,,
289,Bagaimana cara mahasiswa melakukan perbaikan nilai?,Dengan mengambil ulang dan mengikuti secara penuh mata kuliah saat mata kuliah bersangkutan ditawarkan.,,,,
290,Nilai yang diakui dari mata kuliah yang diulang bagaimana?,Nilai yang terbaik yang diperoleh mahasiswa dari pengulangan mata kuliah.,,,,
291,Apa yang dilakukan jika mahasiswa belum lulus setelah mengulang 2 kali?,Dapat melaksanakan perbaikan nilai melalui kuliah remedial.,,,,
292,Apa yang dilakukan jika mahasiswa tidak lulus karena tugas Universitas atau institusi resmi?,Dapat melaksanakan kuliah tutorial dengan bukti surat tugas resmi dan izin rektor.,,,,
293,Siapa yang wajib mengikuti KKN?,Setiap mahasiswa program Sarjana.,,,,
294,Apa itu KKN?,KKN adalah kegiatan intrakurikuler di lapangan (masyarakat) yang menyesuaikan pencapaian kompetensi sosial Tri Dharma Perguruan Tinggi.,,,,
295,Bagaimana pelaksanaan KKN dilakukan?,Bersifat interdisipliner dan dikelola oleh P3KKN atau unit yang ditunjuk.,,,,
296,Siapa yang dapat mengikuti KKN?,Mahasiswa S1 yang telah menyelesaikan minimal 100 sks dengan IPK ? 2.00.,,,,
297,Bolehkah mahasiswa mengikuti mata kuliah lain saat KKN?,Tidak diperbolehkan mengikuti mata kuliah lainnya baik teori maupun praktek.,,,,
298,Siapa yang menetapkan peserta KKN?,Ditentukan dengan Keputusan Rektor atas usul P3KKN atau unit yang ditunjuk.,,,,
299,Berapa bobot SKS dan lama pelaksanaan KKN?,4 SKS selama 2 bulan yang terdiri dari Pembekalan; Pelaksanaan; dan Ujian Akhir.,,,,
300,Bagaimana penilaian KKN diatur?,Dengan Surat Keputusan Rektor.,,,,
301,Bentuk KKN apa saja yang diselenggarakan?,KKN Tematik Kontekstual; KKN Internasional; dan kegiatan kemahasiswaan yang disetarakan.,,,,
302,Persyaratan KKN Tematik Kontekstual?,IPK minimal 3.00 dan telah menyelesaikan 100 sks.,,,,
303,Persyaratan KKN Internasional?,IPK minimal 3.00; menyelesaikan 100 sks; dan nilai TOEFL minimal 450.,,,,
304,Apa syarat minimal penyetaraan KKN?,Kegiatan yang memberi manfaat bagi masyarakat; lintas atau interdisiplin atau monodisiplin; bersifat pengabdian sukarela; memiliki jumlah sks sama dengan KKN; lama waktu setara KKN; dan terstruktur meliputi pembekalan; pelaksanaan; ujian.,,,,
305,Apa saja bentuk kuliah yang bisa disetarakan dengan KKN?,Magang; Kerja Praktek di Industri; Mengajar di Sekolah 3T; Kuliah Kerja Lapangan; atau kegiatan lain atas usulan Dekan.,,,,
306,Siapa penyelenggara mata kuliah yang disetarakan dan kemana laporan diberikan?,Fakultas sebagai penyelenggara; laporan diberikan ke Rektor melalui Badan Penyelenggara KKN Universitas.,,,,
307,Program apa yang harus membuat Skripsi?,Program Sarjana.,,,,
308,Program apa yang harus membuat Tesis?,Program Magister.,,,,
309,Program apa yang harus membuat Disertasi?,Program Doktor.,,,,
310,Apa syarat untuk mengambil LTA dan Skripsi?,Telah lulus minimal 80 sks untuk LTA dan 100 sks untuk Skripsi.,,,,
311,Berapa bobot kredit LTA dan Skripsi?,LTA: 3-5 sks; Skripsi: 4-6 sks.,,,,
312,Berapa bobot kredit Tesis dan Disertasi?,Tesis: 8 sks; Disertasi: 12 sks.,,,,
313,Sistematika dan isi LTA; Skripsi; Tesis; Disertasi mengacu pada apa?,Mengacu pada kaidah penulisan ilmiah yang ditetapkan oleh Fakultas.,,,,
314,LTA dan Skripsi dibimbing oleh berapa dosen?,LTA minimal 1 dosen; Skripsi minimal 2 dosen.,,,,
315,Persyaratan kualifikasi Pembimbing Utama dan Pendamping LTA atau Skripsi?,Pembimbing Utama minimal S2 atau Lektor; Pembimbing Pendamping minimal S2 atau Asisten Ahli.,,,,
316,Siapa yang mengangkat dan memberhentikan Pembimbing Utama dan Pendamping?,Dekan atas nama Rektor atas usul Ketua Jurusan; Ketua Bagian; Koordinator Prodi.,,,,
317,Bagaimana ketentuan pembimbing dari luar Universitas?,Dapat diangkat oleh Dekan atas nama Rektor; dengan persyaratan profesional dan keilmuan relevan.,,,,
318,Persyaratan pembimbing Tesis?,Pembimbing Utama minimal S3 dan Lektor; Pendamping minimal S2 dan Lektor Kepala.,,,,
319,Persyaratan pembimbing Disertasi?,Pembimbing Utama S3 dan Lektor Kepala dengan publikasi ilmiah; Pendamping S3 dan Lektor Kepala.,,,,
320,Apakah pembimbing utama memiliki bidang keilmuan?,Ya; pembimbing utama jenjang Vokasi; Sarjana; Magister; dan Promotor memiliki bidang atau konsentrasi keilmuan yang relevan.,,,,
321,Dapatkah pembimbing utama Tesis atau Disertasi berasal dari luar Universitas?,Ya; dengan penetapan Rektor atas usulan prodi.,,,,
322,Apa wewenang Pembimbing Utama?,Memiliki wewenang penuh dalam proses pembimbingan Skripsi; LTA; Tesis; Disertasi.,,,,
323,Apa tugas dan tanggung jawab pembimbing?,Membimbing mahasiswa dalam penelitian dan menyusun penelitian; serta memeriksa; menguji; dan memberi nilai LTA; Skripsi; Tesis; Disertasi.,,,,
324,LTA; Skripsi; Tesis; Disertasi harus diikuti oleh mahasiswa dalam bentuk apa?,Seminar dan atau ujian proposal sesuai tata cara dan persyaratan prodi.,,,,
325,Siapa yang menentukan pelaksanaan ujian LTA; Skripsi; Tesis; Disertasi?,Ketua Jurusan; Bagian atau Koordinator Prodi bagi fakultas tanpa jurusan atau bagian.,,,,
326,Nilai minimal untuk lulus LTA; Skripsi; Tesis; Disertasi?,Mahasiswa Vokasi dan Sarjana: C+; Mahasiswa Profesi dan Pascasarjana: B.,,,,
327,Berapa komposisi Tim Penguji LTA?,1 dosen Pembimbing dan minimal 1 dosen Penguji.,,,,
328,Berapa komposisi Tim Penguji Skripsi?,2 dosen Pembimbing dan minimal 2 dosen Penguji.,,,,
329,Siapa yang mengangkat Ketua dan Anggota Tim Penguji?,Berdasarkan SK Rektor yang ditandatangani Dekan atas nama Rektor atas usul Ketua Jurusan; Ketua Bagian; Koordinator Prodi; penyelenggara program.,,,,
330,Apa persyaratan tim penguji LTA dan Skripsi?,Minimal berkualifikasi S2 dan minimal memiliki jabatan fungsional Asisten Ahli; berstatus dosen tetap Universitas Bengkulu atau pihak lain yang berkompeten ditunjuk Rektor atas usulan Dekan; Ketua Jurusan; Ketua Bagian; Koordinator Prodi.,,,,
331,Apakah bisa menunjuk penguji dengan jabatan fungsional lebih rendah?,Rektor atas usul Ketua Jurusan; Ketua Bagian; Koordinator Prodi dapat menunjuk penguji yang jabatan fungsionalnya lebih rendah.,,,,
332,Bagaimana evaluasi hasil pembelajaran mahasiswa diukur?,Berdasarkan Indeks Prestasi (IP) yang terdiri dari IPS dan IPK dengan rumus IP = ? (Ni x K)/? K.,,,,
333,Berapa IPK minimal mahasiswa program Vokasi dan Sarjana?,IPK serendah-rendahnya 2.00.,,,,
334,Apa tindakan bagi mahasiswa yang tidak memenuhi ketentuan IPK?,Diberi peringatan melalui Portal Akademik dan atau peringatan tertulis oleh Dekan atas usul Ketua Jurusan; Bagian atau Koordinator Prodi.,,,,
335,Berapa lama mahasiswa diberi waktu untuk memperbaiki IPK?,Diberi waktu maksimal 1 tahun untuk memperbaiki IPK.,,,,
336,Dari mana data evaluasi hasil pembelajaran mahasiswa?,Berdasarkan data dari Sistem Informasi Akademik (SIAKAD).,,,,
337,Apa yang terjadi jika mahasiswa tidak memenuhi persyaratan IPK dalam waktu 1 tahun?,Mahasiswa secara otomatis dinyatakan DO (drop out) dengan Keputusan Rektor.,,,,
338,Apa persyaratan kelulusan mahasiswa program Vokasi dan Sarjana?,1) Terdaftar sebagai mahasiswa aktif; 2) Telah menempuh seluruh beban belajar dan capaian pembelajaran; 3) IPK minimal 2.00 dan maksimal 2 mata kuliah nilai D; 4) Lulus TOEFL prediksi minimal 400; 5) Memenuhi semua persyaratan prodi.,,,,
339,Apa yang dimaksud dengan yudisium?,Yudisium merupakan rapat keputusan fakultas tentang kelulusan seorang mahasiswa sebelum acara wisuda.,,,,
